GEO,TIME,UNIT,COICOP,Value
Cyprus,2009,Annual average rate of change,All-items HICP,0.2
Cyprus,2010,Annual average rate of change,All-items HICP,2.6
Cyprus,2011,Annual average rate of change,All-items HICP,3.5
Cyprus,2012,Annual average rate of change,All-items HICP,3.1
Cyprus,2013,Annual average rate of change,All-items HICP,0.4
Cyprus,2014,Annual average rate of change,All-items HICP,-0.3
Cyprus,2015,Annual average rate of change,All-items HICP,-1.5
Cyprus,2016,Annual average rate of change,All-items HICP,-1.2
Latvia,1996,Annual average rate of change,All-items HICP, 
Latvia,1997,Annual average rate of change,All-items HICP,8.1
Latvia,1998,Annual average rate of change,All-items HICP,4.3
Latvia,1999,Annual average rate of change,All-items HICP,2.1
Latvia,2000,Annual average rate of change,All-items HICP,2.6
Latvia,2001,Annual average rate of change,All-items HICP,2.5
Latvia,2002,Annual average rate of change,All-items HICP,2
Latvia,2003,Annual average rate of change,All-items HICP,2.9
Latvia,2004,Annual average rate of change,All-items HICP,6.2
Latvia,2005,Annual average rate of change,All-items HICP,6.9
Latvia,2006,Annual average rate of change,All-items HICP,6.6
Latvia,2007,Annual average rate of change,All-items HICP,10.1
Latvia,2008,Annual average rate of change,All-items HICP,15.3
Latvia,2009,Annual average rate of change,All-items HICP,3.3
Latvia,2010,Annual average rate of change,All-items HICP,-1.2
Latvia,2011,Annual average rate of change,All-items HICP,4.2
Latvia,2012,Annual average rate of change,All-items HICP,2.3
Latvia,2013,Annual average rate of change,All-items HICP,0
