year,gdp,export_volume,import_volume
1815,26756.5150341031,1791.3454175947,1213.8509367807
1816,25355.1731976028,1540.5040705228,1044.4752726469
1817,25781.1166233138,1542.7451219967,1181.3762752286
1818,25755.7202936752,1701.663440171,1459.3697169261
1819,25333.2569227818,1414.5649843061,1190.5988001706
1820,27390.7447995096,1533.0758656836,1279.5647719541
1821,27858.0627942493,1621.2616455681,1194.9654481886
1822,28396.2098392612,1655.179253216,1205.5403636593
1823,29232.9625147962,1641.6122101568,1409.988729426
1824,30835.9361885471,1817.9837699257,1476.9631940738
1825,31531.8194914658,1709.4474254525,1847.0852355481
1826,29848.0460407177,1648.3957316864,1547.4626305451
1827,32147.2584471401,1919.7365928693,1787.1607145475
1828,32245.9168346184,1953.6542005172,1825.9354046067
1829,32519.411547149,2102.8916741678,1804.7855736653
1830,33977.1274687408,2096.1081526382,1892.9098692545
1831,35067.1769576205,2191.0774540523,2048.0086294913
1832,35213.6569812953,2360.6654922916,1766.0108836061
1833,35652.371220831,2408.1501429986,1857.6601510188
1834,36939.7734238965,2537.0370520605,2019.8088549028
1835,39260.4494349193,2781.2438271252,2009.2339394321
1836,40196.6181352177,2910.1307361871,2396.9808400243
1837,39908.2628438017,2645.5733965337,2248.9320234345
1838,41865.0862111658,3127.2034251334,2502.7299947312
1839,42843.7516730879,3242.5232911362,2664.8786986152
1840,43014.429630632,3412.1113293755,2700.1284168509
1841,41708.006065746,3561.3488030261,2689.5535013802
1842,41400.1319328982,3473.1630231417,2555.6045720847
1843,42865.5167587239,3853.0402287978,2604.9541776146
1844,46062.1893372775,4171.8657406877,2894.001867147
1845,48272.7264161558,4246.484477513,3235.9241340328
1846,50688.2168027036,4165.0822191582,3137.2249229729
1847,49979.658648926,4334.6702573975,3863.3691186274
1848,51494.7712212189,4253.2679990426,3683.5955556255
1849,52159.1000463666,5494.6524389546,4229.9661882781
1850,51526.4825829035,5840.6120369628,4074.8674280413
1851,53893.9936181798,6186.5716349711,4360.39014575
1852,55609.3064347126,6505.397146861,4229.9661882781
1853,57530.2439257165,7489.0077686492,4994.8850739917
1854,59762.0573647679,7448.3066394718,4822.1614546371
1855,59413.0957964149,7617.8946777111,4416.7896949271
1856,62294.4682676889,8757.5262946794,5224.0082425235
1857,62632.054127801,8852.4955960935,5245.1580734649
1858,62362.0119633817,8805.0109453865,5287.4577353477
1859,65041.8752323243,9612.2500074057,5654.0548049984
1860,66377.72843928,10168.4987728307,6457.7483807713
1861,67645.8364122767,9829.3226963521,6831.3953940692
1862,66904.3549886841,9354.4761892819,6975.9192388353
1863,70495.9167086934,10059.9624283576,7042.8937034831
1864,71328.0300332295,10053.178906828,7046.4186753066
1865,74757.0268305925,10962.1707917908,7465.8903223109
1866,75614.7800165422,11782.9768968692,8170.8846870239
1867,76047.0767720635,11972.9154996973,8043.9857013756
1868,79037.8178519617,12854.7732985419,8632.6559959109
1869,80780.697013167,13444.9396716148,8911.1287699726
1870,87553.2203742474,14320.0139489297,9376.4250506832
1871,92367.3289902425,16608.6006530966,10963.9679164073
1872,92476.2631035345,16804.7652277395,11013.5786309612
1873,92934.7742948176,16216.2715038108,11509.6857765
1874,96998.365445998,16412.4360784537,11708.1286347155
1875,97770.5970921488,16477.8242700013,12402.6786384698
